timestamp,symbol,direction,entry_price,exit_price,pnl,capital_after
2023-04-06 06:15:00,BTCUSDT,SELL,28015.03,28048.08,-10.0,9990.0
2023-04-06 08:00:00,BTCUSDT,SELL,27884.89,27946.99,-10.0,9980.0
2023-04-06 09:45:00,BTCUSDT,SELL,27951.72,27910.399999999998,7.63,9987.63
2023-04-06 12:35:00,BTCUSDT,SELL,27943.09,28085.0,-10.0,9977.63
2023-04-06 17:45:00,BTCUSDT,SELL,28015.0,28019.250000000004,-0.63,9977.0
2023-04-06 21:30:00,BTCUSDT,SELL,28002.5,28001.349999999995,0.38,9977.38
2023-04-06 22:10:00,BTCUSDT,SELL,27931.7,27972.105000000003,-6.2,9971.18
2023-04-07 00:35:00,BTCUSDT,BUY,28064.63,28094.315000000002,6.94,9978.12
2023-04-07 02:20:00,BTCUSDT,SELL,28014.66,27972.790000000005,7.18,9985.3
2023-04-07 05:35:00,BTCUSDT,SELL,27944.21,27984.26,-10.0,9975.3
2023-04-07 06:10:00,BTCUSDT,SELL,27947.0,27973.034999999996,-6.92,9968.38
2023-04-07 07:55:00,BTCUSDT,SELL,27839.78,27873.82,-10.0,9958.38
2023-04-07 08:45:00,BTCUSDT,SELL,27852.96,27837.245,2.49,9960.86
2023-04-07 10:15:00,BTCUSDT,SELL,27940.0,27877.89,10.0,9970.86
2023-04-07 11:40:00,BTCUSDT,SELL,27871.53,27929.9,-10.0,9960.86
2023-04-07 20:55:00,BTCUSDT,SELL,27864.2,27894.56,-10.0,9950.86
2023-04-07 21:25:00,BTCUSDT,SELL,27875.83,27866.534999999996,3.21,9954.07
2023-04-07 22:40:00,BTCUSDT,BUY,27932.55,27901.130000000005,-6.09,9947.98
2023-04-07 23:20:00,BTCUSDT,SELL,27900.0,27931.8,-10.0,9937.98
2023-04-08 00:40:00,BTCUSDT,SELL,27870.04,27862.035000000003,1.61,9939.59
2023-04-08 03:55:00,BTCUSDT,BUY,28023.39,27983.69,-10.0,9929.59
2023-04-08 05:10:00,BTCUSDT,BUY,28011.49,28030.030000000002,5.71,9935.31
2023-04-08 05:45:00,BTCUSDT,BUY,28059.6,28060.025,0.14,9935.45
2023-04-08 11:30:00,BTCUSDT,BUY,28032.4,27990.57,-10.0,9925.45
2023-04-08 20:45:00,BTCUSDT,SELL,27913.83,27920.775,-2.11,9923.34
2023-04-09 00:45:00,BTCUSDT,BUY,28054.71,28055.655,0.27,9923.6
2023-04-09 06:55:00,BTCUSDT,SELL,27880.13,27893.315,-2.67,9920.93
2023-04-09 09:55:00,BTCUSDT,SELL,27898.58,27872.920000000006,8.25,9929.19
2023-04-09 14:20:00,BTCUSDT,SELL,27815.71,27856.160000000003,-3.7,9925.48
